data,ticker,nome,setor,industria,preco_atual,market_cap,pl,pl_forward,pvp,psr,ev_ebitda,roe,roa,margem_liquida,margem_bruta,margem_ebitda,dividend_yield,payout_ratio,divida_patrimonio,lpa,lpa_forward,beta,volume_medio
2026-08-27,VBBR3,VIBRA       ON      NM,Consumer Cyclical,Specialty Retail,33.61,40204718080.0,7.9082355,10.218414,1.8445749,0.19710708,5.406,0.22621,0.09709,0.02479,0.06453,0.051620003,5.8,0.367,92.73,4.25,3.28916,0.145,8646410
2026-08-24,VIVA3,VIVARA S.A. ON      NM,Consumer Cyclical,Luxury Goods,21.6,5078917120.0,8.674699,6.7631884,1.6755877,1.6087168,7.696,0.19703,0.10378,0.18556,0.69843,0.24306999,6.31,0.28,39.643,2.49,3.19376,0.233,2906065
2026-08-25,VIVA3,VIVARA S.A. ON      NM,Consumer Cyclical,Luxury Goods,22.07,5189430784.0,8.863454,6.9103503,1.7120472,1.6437215,7.72,0.19703,0.10378,0.18556,0.69843,0.24306999,6.29,0.28,39.643,2.49,3.19376,0.233,2925363
2026-08-27,VIVA3,VIVARA S.A. ON      NM,Consumer Cyclical,Luxury Goods,22.7,5337565696.0,9.1164665,7.10761,1.7609185,1.6906422,8.057,0.19703,0.10378,0.18556,0.69843,0.24306999,6.15,0.28,39.643,2.49,3.19376,0.233,2941312
2026-08-24,VIVT3,TELEF BRASILON,Communication Services,Telecom Services,29.42,94014734336.0,14.281554,9.648749,1.3473781,1.521913,5.218,0.09872,0.05509,0.10682,0.48257,0.32598,4.48,1.1794,30.209,2.06,3.0491,0.214,5306668
2026-08-25,VIVT3,TELEF BRASILON,Communication Services,Telecom Services,30.0,95868190720.0,14.5631075,9.838969,1.373941,1.5519168,5.232,0.09872,0.05509,0.10682,0.48257,0.32598,4.47,1.1794,30.209,2.06,3.0491,0.214,5362231
2026-08-27,VIVT3,TELEF BRASILON,Communication Services,Telecom Services,30.06,96059924480.0,14.592233,9.858647,1.3766888,1.5550207,5.334,0.09872,0.05509,0.10682,0.48257,0.32598,4.38,1.1794,30.209,2.06,3.0491,0.214,5351423
2026-08-24,VLID3,VALID       ON  ED  NM,Industrials,Specialty Business Services,17.33,1355259392.0,6.0173607,9.95977,0.81159556,0.669454,4.205,0.13442001,0.07533,0.111540005,0.35185,0.18456,10.77,0.5857,41.23,2.88,1.74,-0.095,286417
2026-08-25,VLID3,VALID       ON      NM,Industrials,Specialty Business Services,17.53,1370900096.0,6.0868053,10.074713,0.82096195,0.67718,4.404,0.13442001,0.071779996,0.111540005,0.35185,0.17621,10.77,0.5857,41.23,2.88,1.74,-0.095,279548
2026-08-27,VLID3,VALID       ON      NM,Industrials,Specialty Business Services,17.48,1366989824.0,6.069444,10.045977,0.81862026,0.67524844,4.449,0.13442001,0.071779996,0.111540005,0.35185,0.17621,10.65,0.5857,41.23,2.88,1.74,-0.095,259461
2026-08-24,VTRU3,VITRUEDUCA  ON      NM,Consumer Defensive,Education & Training Services,13.42,2003732736.0,1.8383561,3.9791377,0.48183256,0.85346395,4.839,0.32387,0.06368,0.46562,0.65349,0.31354,0.19,0.0034,55.839,7.3,3.37259,0.425,578590
2026-08-25,VTRU3,VITRUEDUCA  ON      NM,Consumer Defensive,Education & Training Services,13.82,2063456384.0,1.8931506,4.0977407,0.49619418,0.87890244,4.819,0.32387,0.06368,0.46562,0.65349,0.31354,0.19,0.0034,55.839,7.3,3.37259,0.425,582534
2026-08-27,VTRU3,VITRUEDUCA  ON      NM,Consumer Defensive,Education & Training Services,13.57,2026129024.0,1.858904,4.023614,0.48721814,0.8630033,4.849,0.32387,0.06368,0.46562,0.65349,0.31354,0.18,0.0034,55.839,7.3,3.37259,0.425,589939
2026-08-24,VULC3,VULCABRAS   ON      NM,Consumer Cyclical,Footwear & Accessories,13.55,4256230144.0,4.457237,5.940455,1.6984206,1.1393992,6.106,0.37129003,0.114479996,0.24891001,0.40942,0.21521,57.06,1.4783,36.562,3.04,2.28097,-0.02,1067742
2026-08-25,VULC3,VULCABRAS   ON      NM,Consumer Cyclical,Footwear & Accessories,13.61,4275076864.0,4.4769735,5.966759,1.7059413,1.1444445,6.059,0.37129003,0.114479996,0.24891001,0.40942,0.21521,57.56,1.4783,36.562,3.04,2.28097,-0.02,1066101
